iter	Passed	Remaining
0	0	87
1	1	96
2	2	92
3	3	85
4	4	82
5	5	80
6	5	79
7	6	77
8	7	75
9	8	74
10	9	76
11	10	78
12	11	77
13	12	75
14	13	74
15	14	74
16	15	73
17	15	71
18	16	70
19	17	70
20	18	69
21	19	69
22	20	67
23	21	67
24	22	66
25	23	65
26	24	65
27	25	65
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	58
36	33	57
37	34	56
38	35	56
39	36	54
40	37	53
41	37	52
42	39	52
43	40	51
44	41	50
45	42	49
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	45
52	49	44
53	50	43
54	51	41
55	52	41
56	53	40
57	54	39
58	55	38
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	23
76	73	22
77	75	21
78	82	22
79	84	21
80	85	20
81	86	19
82	88	18
83	90	17
84	91	16
85	92	15
86	94	14
87	95	13
88	97	11
89	98	10
90	100	9
91	102	8
92	103	7
93	105	6
94	106	5
95	108	4
96	109	3
97	111	2
98	112	1
99	113	0
